clean_text,has_kualitas_produk,has_harga,has_pengiriman,has_pelayanan,has_performa,has_packaging
bagussss,1,0,0,0,1,0
segelnya bagus hp juga tidak ada cacat dan sesuai keinginan,1,0,0,1,1,0
produk mendarat dengan selamat alhamdulillah sudah pesen ke sekian kalinya,0,0,1,0,0,0
barang ori,0,0,0,0,0,0
pesanan sudah ditangan proses dan pengiriman gercep sat set sudah ditest hp mulus tanpa masalah thanks s o s,0,0,0,0,0,0
olgi akan menjual iphone pro nya dan akan membeli poco f atau iphone pro max tergantung persetujuan istrinya,0,0,0,0,0,0
recomended seller pengiriman respond sat set sat set kwalitas barang josss aslinya,1,0,0,1,0,0
barang reall pic desain elegan suka banget pengiriman cepat seller responsif,0,0,1,1,1,0
mntp batre cukup awet jam main game abis skitar an cukup adem jg,0,0,0,0,0,0
pengiriman cepat barang bagus punya highly recommend,1,0,1,0,1,0
alhamdulillah beliin hp ini untuk saya dan beliau suka banget meski tidak seberapa insyallah berkah terimakasih sudah amanah,0,0,0,1,0,1
pelayanan saya sudah konfirmasi sebelum co apa orderan saya bisa di pick up sesuai waktu yg disepakati karena saya ada penerbangan dan disetujui oleh seller tapi,0,0,0,0,0,0
alhamdulillah barang sampai dengan selamat kondisi barang bagus semoga awet terima kasih,1,0,1,0,1,0
barang berkualitas sesuai deskripsi,1,0,0,0,0,0
barang di terima dengan aman dan tepat waktu,0,0,1,0,0,1
barang masih disegel belum dibuka karena untuk kado semoga bagus dan berfungsi dng baik karena beli nya di official store nya langsung terimakasih,1,0,0,1,1,0
mantab,0,0,0,0,0,0
semoga awet,0,0,0,0,0,0
poco f hp impian dengan spek yang merajai dibanding kompetitor nya dan yang paling aku suka itu desain nya yang menurutku jadi desain yg terbaik dari semua seri poco s,0,0,0,1,0,0
sippp,0,0,0,0,0,0
barang tidak ada cacat fisik sudah di coba tidak ada kendala di os nya packing barang standart mungkin bisa lebih tebel lagi utk bubble warpnya pengiriman cukup lambat,1,0,1,1,1,1
tepat waktu pas untuk harga terjangkau,0,1,1,0,0,0
good,0,0,0,0,0,0
packing bagus barang sampai dengan selamat belum dicoba semoga puas dapat harga diskon,1,0,1,0,1,0
bagus mamah saya sangat suka sekali hp nya sampe lupa bikinin sarapan saya huhuhu,1,0,0,0,1,0
alhamdulillah paket yah sudah dateng dengan selamat,0,0,1,0,0,0
pengiriman cepat packing aman barang berkualitas sesuai deskripsi warna sesuai dengan gambar,1,0,1,0,1,1
barangnya ori senang bisa berbelanja di sini terimakasih atas kepercayaan dan kepuasan pelanggan ya,0,0,0,0,0,0
kondisi segel normal dan tidak ada masalah,0,0,0,1,0,0
suka banget sama angka alhamdulillah dpt seri f dgn desain yg disuka pengiriman cepat barang sampai dgn selamat uda ip jg jadi gk khawatir klo kcemplung air ram dan,0,0,1,0,1,0
bagus barang sesuai,1,0,0,0,1,0
sesuai deskripsi,0,0,0,0,0,0
kualitas bahan bagus dari stainless steel dan dapat menjaga suhu minuman hingga seharian,1,0,0,0,1,0
barang bagus packing rapih hp ori yes sukses terus kaka,1,0,0,0,1,1
produk original dan sesuai pesanan,1,0,0,0,0,0
paket diterima dgn baik sesuai pesanan warna desert bubblewrapnya juga tebal good,0,0,0,1,0,1
nekad main pesen aja karena liat review dari buyer lain pada bagus pesen minta ibox atau digimap dapet yg ibox dan ternyata belum aktivasi sudah dicek resmi terdafta,1,0,0,0,1,0
barang sesuai dengan diskripsi berfungsi normal halus dan bersih hasil cucinya respond toko cepat paking bagus di plastik buble,1,0,1,1,1,0
mantaaap terbaiiik,0,0,0,0,0,0
bagus dan aman,1,0,0,0,1,1
akhirnya sampai juga orang yg dikasih suka sekali ternyata harga tidak mahal tapi amoled lho semoga awet ya redmi watch lite keren banget,0,1,0,1,0,0
diterima dengan baik,0,0,0,1,0,0
kurir nya tidak jelas ganti ganti sudah dikirim malah di balikin ke toko di anter pake kurir dari toko malah nambah biaya,0,0,0,1,0,0
sudah baca di spek sih kl memang berat apapagi upgradean dari f jadi jauh banget krasa beratnya cm selebih nya sih bagus,1,0,0,0,1,0
baru terima barang namun untuk kameranya ngeblur berembun ketika melakukan record mohon solusinya,0,0,0,0,0,0
barangnya sudah sampai alhamdulillah dan pastinya ori,0,0,0,0,0,0
sesuai pesanan,0,0,0,0,0,0
mantaappp,0,0,0,0,0,0
hp sesuai gambar mantaps keren pengiriman tepat waktu packing rapih,1,0,1,0,0,1
jos,0,0,0,0,0,0
biarkan bintang berbicara,0,0,0,0,0,0
good,0,0,0,0,0,0
cakepp tapi sehari bisa kali nge cas,0,0,0,0,0,0
packing rapih barang segel original bagus pokonya,1,0,0,0,1,1
produk sesuai dengan pesenan,0,0,0,0,0,0
alhamdulillah paket nya sudah sampai lagi pengiriman tidak diragukan lagi sangat cepat tokoh nya sangat amanah sudah kali pesan di sini barang real pict sll memuaskan t,0,0,1,1,1,1
cs cepat responsif dan membantu dapet harga promo makasih ismile,0,0,1,1,1,0
najsbxhsusbdjsusj,0,0,0,0,0,0
barang sesuai bagus sudah dicoba trm ksh,1,0,0,0,1,0
packing aman barang sampai dg selamat fsn berfungsi fg baik,0,0,1,1,0,1
membeli hp di xiaomi official store sudah pasti sy akan lebih merasa tenang dan nyaman karena barang yg sy terima sudah pasti tersegel ori dari pabrik dan bukan barang,0,0,0,0,0,1
semoga kali ini enggak salah lagi,0,0,0,0,1,0
official store nya tidak mengecewakan pelayanan dan komunikasi nya sangat baik sekali rekomendasi seller,0,0,0,1,0,0
produk bagus sudah dicoba hari ini produk aman charger juga aman trims,1,0,0,0,1,1
setelah dipertimbangan buat beli hp cek review sana sini akhirnya memutuskan meminang poco f ini dengan chipset keluaran terbaru dan dijamin update hingga tahun dan,0,0,0,0,0,0
bagus barang sesuai dengan orderan moga befungsi dengan normal,1,0,0,0,1,0
mantaaaaaaaaaaaaaaaap proses cepat pengiriman cepat packing rapih sesuai pesanan hp berpungsi dgn baik,0,0,1,1,1,1
senang bertransaksi dimari cepat aman dan terkendali,0,0,1,0,1,1
sudah dua kali saya pesan handphone di toko ini thanks to vivo indonesia tiktok shop barangnya sampai ke tujuan dengan aman dan terkendali keseluruhan bintang me,0,0,0,0,0,1
barang nya sesuai gambar dijamin ori pengemasannya juga bagus,1,0,0,0,1,0
beli buat dijadiin kado orang sudah diterima tanpa ada drama pengiriman terima kasih sudah me dengar saran saya untuk menambah pilihan expedisi nya,0,0,0,0,0,0
barang ori pelayanan bagus pengiriman aman dan cepat,1,0,1,0,1,1
pengiriman cepat responsif penjual ramah pokonya top deh,0,0,1,1,1,0
bagus bagus real pick mendarat dgn aman,1,0,0,0,1,1
brng sampai dlm kondisi baik sesuai yg di harapkan makasih gan,0,0,0,1,0,0
bagus istri suka,1,0,0,0,1,0
barang nya sudah sampe cuma hari nyampe cepet banget ori lagi tidak kaleng poko nya jangan ragu beli di toko ini ya semua nya ori barang nya kalo soal vivo toko ini raja nya,0,0,0,1,1,0
alhamdulillah sesuai pesanan terimakasih bosque,0,0,0,0,0,0
ipad nya bagus banget lengkap tersegel dan seller sangat responsible maaf ya baru review baru dibuka jg paketnya,1,0,0,1,1,0
alhamdulillah barangnya sampai dgn aman dan selamat kereennnnn bagus banget,1,0,1,0,1,1
produk sudah diterima dengan baik dan lengkap kurirnya juga ramah mau nungguin pas unboxing,0,0,0,1,0,0
barang bagus bagus,1,0,0,0,1,0
produk lengkap sesuai iklan tanpa kekurangan asuransi kerusakan via tokopedia aktif trims,1,0,0,0,0,1
barang bagus sesuai dengan deskripsi berfungsi dengan baik,1,0,0,1,1,0
pengirman cepat cepat responsif rekomen banget langganan disini,0,0,1,1,1,0
ini barng yang k asli dan tidak ada cacat,1,0,0,1,0,0
barang bagus masih gres asli pengiriman jga cepet bngt thanks ya ka admin smoga lancar dagang nya,1,0,0,0,1,0
barang ori produk tidak ad kendala seller gercep tgl banget ud lgsg dkirim am seller mantaapp jgn ragu checkout produk dsni,0,0,0,1,0,0
alhamdulillah suda sampai sesuai pesanan dan pengantaran cepat,0,0,1,0,1,0
trimakasih barang sesuai pesanan saya sangat suka dengan produknya rekomended product sukses selalu,0,0,0,0,0,0
alhamdulillah bagus banget hp ke bli d papih nich,1,0,0,0,1,0
bagus,1,0,0,0,1,0
baguss pengiriman cepaat packing amann alhamdulillah,1,0,0,0,1,1
semoga tidak ada kendala,0,0,0,1,0,0
suaranya adem,0,0,0,0,0,0
barang asli,1,0,0,0,0,0
bagus sudah beberapa kali order di toko ini emg tidak mengecewakan,1,0,0,1,1,0
impresi pertama untuk smartphone ini luar biasa yg paling menonjol adalah dari ketahanan batrenya yg bisa sampai hari setengah bahkan kadang bisa nyampe hari utk pe,0,0,0,0,0,0
baru pesan tgl tgl siang sudah nyampe bagus sesuai pesanan,1,0,0,0,1,0
proses pengiriman sangat sangat lambat order tgl jun dikirim tgl jul,0,0,1,1,1,0
barang sampai dengan aman packing rapih sudah dicoba dan semua berfungsi dengan baik btw cepat response sekali ya order kemarin hari ini sampai good,0,0,1,1,1,1
mantappppppp,1,0,0,0,0,0
warna bagus spesifikasi sebanding it harga sgitu,1,1,0,0,1,0
paket cepat sampainya barangnya juga di packing dgn aman mantappp,1,0,1,0,1,1
barangnya tiba dengan baik,0,0,0,1,0,0
kerennnn pokoknya dapat harga discount,0,0,0,0,0,0
kwalitas hp bagus banget toko amanah dan barang sampai dengan selamat,1,0,1,0,1,1
mantttaaaaapppppppppppppppppppppppppppppp,0,0,0,0,0,0
alhamdulillah sudah samapai terima kasih,0,0,0,0,0,0
bagus barangnya sesuai,1,0,0,0,1,0
cool,0,0,0,0,0,0
pengiriman cepat dan aman produk origjnal dan tersegel greenpil request garansi dikasihkan sesuai dapet produk sa a,0,0,1,0,1,1
segel garansi kiriman cepat semoga awet,0,0,1,0,1,0
xiaomi terbaik dalem penjualan online dan terbaik harga produknya,0,0,0,1,0,0
ajiib sesuai request top dah,0,0,0,0,0,0
ya allah semoga awettt bagus bangett pokonya aku syuka produk oppo dari dulu tidak prnh main hati ttp sama oppo original kayanya soalnya bli nya,1,0,0,1,1,0
terpercaya first time beli hp online pengirimannya ckup lambat pdhl standar tapi its bagus ini ori,1,0,1,1,1,0
barangnya ori,0,0,0,0,0,0
sesuai pesanan dan cepat sampai,0,0,1,0,1,0
bagus,1,0,0,0,1,0
penjual tidak merespon sama sekali diskusi yang ditanyakan pembelian tgl pengiriman tanggal padahal seharusnya tgl barang sampai akhirnya baru tanggal sampai,0,0,0,1,0,0
beneran terjamin barang masih baru pengiriman juga cepat,0,0,1,0,1,0
pengirimannya cepat responsif penjual nya cepet banget mudah an awet sd beberapa tahun mendatang,0,0,1,1,1,0
alhamdulillah barang sampai dengan aman sesuai permintaan seller amanah semoga berkah terus sukses selalu buat kado ulang tahun istri alhamdulillah istri kelihat,0,0,0,0,0,1
produk xiaomi pasti bagus pengirim ninja express yang bikin kecewa sampe kali pick up gagal sampe telat hari dri estimasi sampai,1,0,1,0,1,0
performa sistem bagus,1,0,0,0,1,0
barang ori terimakasih bagindaaa,0,0,0,0,0,0
lumayan cman kendala di kurir aja,0,0,0,0,0,0
terjamin orinya,0,0,0,0,0,0
barang bagus,1,0,0,0,1,0
barang ya bagus sesuai pesanan no minus,1,0,0,0,1,0
amanah,0,0,0,0,0,1
bagus banget enak digunain cantik desain elegan,1,0,0,0,1,0
semuanya bagus saran tolong ditingkatkan kecepatan admin dalam membalas pesan,1,0,1,0,1,0
barang original bergaransi seusai pilihan,1,0,0,0,0,0
pengiriman cepat brang nyampek msh segel dn lngkap dg krtu gransi jg,0,0,1,0,1,0
saya pakai sudah mau setahun dan awet barang bagus,1,0,0,0,1,0
barang segel sesuai pesanan original produk packing aman,1,0,0,0,0,1
penjualnya ramah dan responsif banget sabar menjawab pertanyaan saya pelayanannya juga cepat tokonya terpercaya,0,0,1,1,1,0
alhamdulillah barang sampai dengan selamat mulus smga awet,0,0,1,0,0,0
barang segel ori garansi asli terima kasih mantaaaaaaappppp,1,0,0,0,0,0
hp nya bagus pengeriman juga cepat bagus lah pokoknya,1,0,1,0,1,0
cepat responsif produk mantab,0,0,1,1,1,0
tersegel dengan aman tanapa ada kekurangan,0,0,0,0,0,1
pembelian ke di toko ini selalu amanah dan sesuai deskripsi,0,0,0,0,0,1
sesuai,0,0,0,0,0,0
overall bagus dapet ip pa a ibox warna midnight terimakasih smile id,1,0,0,0,1,0
original,1,0,0,0,0,0
original dan kemasan rapih dang aman,1,0,0,0,0,1
sesuai pesanan,0,0,0,0,0,0
diterima dalam keadaan baik,0,0,0,1,0,0
pengiriman cepat dan rapi sekali sangat suka sekaliii belanja di sini,0,0,1,0,1,1
top markotop dikirim aman sampe di tempat,0,0,0,0,0,1
barang nya sudah di terima dengan baik dengan kondisi yang aman dan tanpa kurang satu pun barang nya original,1,0,0,1,0,1
kejernihan lensa bagus sangat sesuai kualitas pengerjaan berkwalitas,1,0,0,0,1,0
adminya slwrespon pengirimanya lambat punya baras sudah di kemas hari baru di ambil buruk jne,1,0,1,1,1,1
orginal,0,0,0,0,0,0
alhamdulillah uda sampai anak seneng banget,0,0,0,0,0,0
baguusss banget,0,0,0,0,0,0
alhamdulillah datang tanpa cacat dapat harga,1,0,0,0,0,0
sudah nyampe barang bagus sesuai spesifikasi tepat waktu,1,0,1,0,1,0
barang bintang responsif bintang emon,0,0,0,1,0,0
mntp,0,0,0,0,0,0
paket sampe dengan selamat terimakasih,0,0,1,0,0,0
bagus,1,0,0,0,1,0
hp yang sebanding it to buy performance joosss gandosss dengan harga yg di tawarkan terima ksih vivo tokopedia ekspedisi dan kurir love u full,0,1,0,0,1,0
barang nya sesuai yg di iklan kan dan pengiriman cepat dan kulir nya ramah baik poko nya tidak kecewa beli di toko ini,0,0,1,1,1,0
pengiriman cepat barang original fungsi normal packing rapi rekomendasi seller terima kasih,1,0,1,0,1,1
seperti biasa barang bagus dan tidak pernah kecewa beli headset ini setahun sekali memang karena sudah mati total sudah kali beli,1,0,0,1,1,0
beli sbg pengganti hp yg pake sd sdh megap kesulitan berinteraksi beli di sini karena dpt ekstra minus k dr harga yg sdh di diskon ke ecommerce laen hrs nunggu tgl,0,0,0,0,0,0
bagus aman walaupun packing nya rada deg degan,1,0,0,0,1,1
barang datang masih segel sesuai pesanan dan datang tepat waktu rekomendasi seller dan rekomendasi kurir semoga awet,0,0,1,0,0,0
body penyot kalau pengembalian ribet,0,0,0,0,0,0
dapat ada debu kecil dalam layar coba iseng tanya ke service center malah dibilang minor defect dan ditakutin lambat claimnya buruk sekali built quality samsung ini sa,1,0,1,1,1,1
alhamdulillah selamat sampai ke pemilik baru sempat ngeri sedap pesan barang mahal di pengiriman takut kenapa,0,1,1,0,0,0
alhamdulillah sudah mendarat hp nya bagus banget aku ujan,1,0,0,0,1,0
barang sesuai bagus seller,1,0,0,0,1,0
barang bagus pengiriman cepat rekomendasi beli di sini,1,0,1,0,1,0
barang benar benar ori bagus pengiriman juga cepat,1,0,1,0,1,0
produk sangat bagus pengiriman sangat cepat,1,0,1,0,1,0
nggak kaleng ini hp yg sudah lambat ditunggu packet sampai dengan aman lengkap dan sdh dicoba berfungsi dgn semestinya mantab,0,0,1,1,1,1
berfungsi dengan baik seller kereennn,0,0,0,1,0,0
asuransinya,0,0,0,0,0,0
kualitas barang bagus original response penjual jg cepat,1,0,1,1,1,0
quality of work keren,0,0,0,0,0,0
overall barang mulus bagus segel tapi pengirimannya lumayan lambat,1,0,1,1,1,0
barang original garansi resmi mantab,1,0,0,0,0,0
terima kasih packing super aman segel utuh berfungsi baik semoga awet,0,0,0,1,0,1
barang original aman dan lancar saat disetup,1,0,0,0,1,1
hp nya sdh sampai alhamdulilah,0,0,0,0,0,0
paduuu barang ente nih sampai saket palak ane,0,0,0,0,0,0
bagus,1,0,0,0,1,0
omg keren thanks abng kurir juga baik,0,0,0,1,0,0
produk ori amanah tokonya jangan d ragukan lagi,0,0,0,0,1,1
sampe dengan selamat semoga awet hpnya,0,0,1,0,0,0
semoga awet,0,0,0,0,0,0
bagus,1,0,0,0,1,0
bagus tadinya ragu mau beli di onlein takut tidak sesuai,1,0,0,1,1,0
barang bagus dan berfungsi semestinya saya harap pengalaman toko ini lebih baik seterusnya,1,0,1,1,1,1
tokonya amanah barang datang tdk ada cacat pun warna dtng sesuai yg di minta top deh siip deh,1,0,0,0,0,1
very good and safe,0,0,0,0,0,0
pesanan sesuai dan barang asli ori joss bagus asik,1,0,0,0,1,0
jangan nyesel deh beli di toko ini barang bagus mulus amanah pula terimakasih seller dan kurirr,1,0,0,0,1,1
barang bagus semoga awet cuma lambat dikurir pick up saja thx,1,0,1,1,1,0
bagus,1,0,0,0,1,0
barang bagus sesuai iklan proses pengiriman cepat akurat,1,0,1,0,1,0
overall bagus sich karna ini emang orderan kedua bagus barang ori bagus,1,0,0,0,1,0
barang sudah sampai dengan keadaan baik,0,0,0,1,0,0
sesuay ibox pa a,0,0,0,0,0,0
bagus mkcj,1,0,0,0,1,0
harga mayan murah karena masih promo plus pengirimannya cepaaaat,0,1,0,0,0,0
terbaik emang admin ramah kurir supercepat,0,0,1,1,1,0
sesuai request gdn,0,0,0,0,0,0
barang sudah diterima sesuai pesanan terima kasih,0,0,0,0,0,0
finallyy,0,0,0,0,0,0
pengalaman pertama beli gadget online alhamdulillah ori masih segel dan berfungsi dengan baik kurirnya juga langganan top banget,0,0,1,1,0,1
sesuai deskrpsi pcking amn pngrimn cepat trmksh,0,0,1,0,1,0
barang sesuai deskripsi pengemasan aman kurir ramah,0,0,0,1,0,1
barang original,1,0,0,0,0,0
tidak tau ah yg penting hp dah sampai masih segel juga pengiriman telat,0,0,1,1,0,0
kualitas bagus makasih,1,0,0,0,1,0
barang sudah diterima sesuai pesanan original masih segel dipacking dengan baik terima kasih,1,0,0,1,0,0
original,1,0,0,0,0,0
barang sesuai pesanan bagus semoga kepake lambat,1,0,1,1,1,0
order aman dan cepat sampai tujuan,0,0,1,0,1,1
sesuai yg diharapkan,0,0,0,0,0,0
alhamdulillah pengerimannya aman packing sangat aman tdk lecet apapun saya sangat puasa,0,0,0,0,0,1
brang aman dgn full segel kualitas pengiriman super kencangggggggg thx kurir,1,0,0,0,0,1
barang sesuai pesanan,0,0,0,0,0,0
puas banget,0,0,0,0,0,0
bagus pokoknya dari z ke neo hehe di z puas banget sayangnya perfomanya seadanya tapi adem banget gapernah panas yaudah up deh biar perfoma ngebut tapi tetep ad,1,0,0,0,1,0
bagus,1,0,0,0,1,0
barang tersegel dan sampai dengan selamat ah bagus,1,0,1,0,1,0
sesuai iklan bagus semoga awet thanks,1,0,0,0,1,0
mantabbb,0,0,0,0,0,0
paket smpe dgn aman,0,0,0,0,0,1
hadiah buat anak saya,0,0,0,0,0,0
bagus hadiah buat bapak saya jadi tidak ada fotonya,1,0,0,1,1,0
rec seller,0,0,0,0,0,0
responsif cepat pengiriman cepat barang sesuai deskripsi toopppp,0,0,1,1,1,0
pengiriman cepat barang aman mantullllllll,0,0,1,0,1,1
puasssss cakep banget di masih bersaing banget ama hape lain,0,0,0,0,0,0
barang sudah sampe terimksih,0,0,0,0,0,0
responsif penjual cepat barang sampai dengan aman ke kalimantan timur di tingkatkan terus pelayanannya,0,0,1,1,1,1
terimakasih ori,0,0,0,0,0,0
gw sudah pake produk xiaomi terutama poco dah lambat dan kali ini puas juga sama poco pad ini karena layarnya gede dipake jga nyaman banget cepet tidak ngelag yg perlu di,0,0,1,1,1,1
alhamdulillah barang sudah aku terima dalam keadaan tersegel dan mulus,0,0,0,0,0,0
barang sesuai dengan pesanan rekomendasi,0,0,0,0,0,0
amanah reselernya real pick jangan lupa order guysss,0,0,0,0,0,1
jos bagus,1,0,0,0,1,0
barang tiba dlm keadaan selamat meskipun tanpa packing kayu semoga awet terima kasih,0,0,1,0,0,0
nice,0,0,0,0,0,0
berfungsi baik,0,0,0,1,0,0
bagus,1,0,0,0,1,0
pengiriman cepat hari nyampai dengan lokasi luar jabodetabek tidak ada segel green peel seperti produk apple yg pernah saya buka sy sebelumnya punya airpods yg sem,0,0,1,1,1,0
barang sampai dengan baik tidak ada cacat produk resmi pelayanan memuaskan happy shop in here thx,1,0,0,1,0,0
lumayan lambat sih po tapi pas datang lumayan senang super senang bagus iphonenya ori dan luar biasa ini tulis comment pake pm,1,0,1,1,1,0
diterima dengan baik dan aman untuk keduakalinya beli disini selain produknya original harganya juga kompetitif proses pesanan hingga kirim juga sangat cepat terima k,1,0,1,1,1,1
sudah sampai dapet kode id a digimap terimakasih,0,0,0,0,0,0
bagus bngt saya suka,1,0,0,0,1,0
berfungsi dengan maksimal,0,0,0,0,0,0
all is well,0,0,0,0,0,0
barang diterima dalam kondisi baik spesifikasi sesuai dalam keadaan segel,0,0,0,1,0,0
bagus barang masih disegel berpungsi dengan baik terimakasih,1,0,0,1,1,0
alhamdulillah puas bnget dgn produk nya hp nya bagus bnget sesuai dgn yg di mau,1,0,0,0,1,0
barangnya nyampeee dengan selamat cepet bngt proses pengirimannya toppp,0,0,1,0,0,0
keren barangnyaaa mantepp dahhh dan berfungsi dengan baikkk,0,0,0,1,0,0
sesuai sangat bagus lebih murah dari beli ofline,1,1,0,0,1,0
bagus mudahan awet trims,1,0,0,0,1,0
terbaik plus dpt holder bonus,0,0,0,1,0,0
barang datang dengan baik dan bagus bravoooo baim wong berkah aamiin amanah rejekianaksoleh mumerbaanget,1,0,0,1,1,1
awal nya takut mau pesen terus nekat aja pesen hari nyampe lampung dan aku trima langsung aku cek garansi dll hp asli gk nipu bagus banget responsif nya baik cepat pokok,1,0,1,1,1,0
baguss banget hp nyaa,1,0,0,0,1,0
produk bagus lucu warnanya lambat resp tapi tidk pp cakep,1,0,1,1,1,0
barang masih segel dan imei nya terdaftar sesuai,0,0,0,0,0,0
bagus barang datang dgn aman packing juga sefty dan toko nya amanah mksh,1,0,0,0,1,1
good dan real,0,0,0,0,0,0
bagus keren barangnya bagus banget,1,0,0,0,1,0
barang original xiaomi berfungsi dengan baik sayang sekali pengiriman lambat,1,0,1,1,1,0
barang masih di segel aman,0,0,0,0,0,1
paketnya sdh sampai dengan selamat lengkap tdk ada yg kurang produk ori tokonya amanah bagus maaf tdk sempat foto keburu di pake hpnya,1,0,1,0,1,1
top barang sampai tepat waktu recomend seller segel bergaransi packing aman sekali admin cepat responsif,0,0,1,1,1,1
bagus gan,1,0,0,0,1,0
bagus suara bagus pas buka langsung konek ke hp,1,0,0,0,1,0
barang sampai dengan selamat terimakasih,0,0,1,0,0,0
barang original pengiriman cepat sehari langsung sampai rumah bagus untuk ortu yang buat sosmed dan tiktok,1,0,1,0,1,0
bagus original terimakasih seller,1,0,0,0,1,0
barang bagus dan original terima kasih minus heatset,1,0,0,0,1,0
pokonya awesome,0,0,0,0,0,0
bagus banget,1,0,0,0,1,0
barang ori dan mash segel garansi nasional sesuai diskripsi san berfungsi dgn baik thank seler amanah tetap pertahankan,0,0,0,1,0,1
barang sesuai dan bagus,1,0,0,0,1,0
pelayanan gk jelas maksa sop,0,0,0,0,0,0
barang sesuai pesanan dan spesifikasi untuk kecepatan pengiriman bagus,1,0,1,0,1,0
f bagus hari sampe keren,1,0,0,0,1,0
rekomendasi,0,0,0,0,0,0
produk sdh di terima dan berfungsi dg baik nfc jg berfungsi dg responsif,0,0,0,1,0,0
bagus beudd,1,0,0,0,1,0
terimakasih hp nya sudah sampai,0,0,0,0,0,0
cakep sesuai keinginan berfungsi dengan baik kurir sangat sangat amanah mulus spesifikasi sesuai dengan deskripsi,0,0,0,1,0,1
agak telat sampe tapi barang bagus,1,0,1,0,1,0
barang ori sesuai pesanan packing rapih aman pengiriman cepattt,0,0,1,0,1,1
recomended puas sudah beberapa kali beli disini,0,0,0,0,0,0
bagus cuman pemgiriman agak lambat,1,0,1,1,1,0
keren,0,0,0,0,0,0
baik,0,0,0,1,0,0
good bolehlah untuk pemakaian orang tua barang bagus masih baru tanpa lecet,1,0,0,0,1,0
pemesanan aman pengemasan bagus dan barang nya cakep,1,0,0,0,1,1
barang bagus segel minus pengiriman aja lambat bet,1,0,1,1,1,0
barang sampe segel dan paking bagus tebal sudah di cek semua dan berjalan sesuai spek,1,0,0,0,1,0
ah ah ah ah ah ah ah,0,0,0,0,0,0
alhamdulillah puas banget sama hasilnya karena memang sebagus dan sori itu soalnya memang belinya di setornya langsung puas banget masya allah tabarakallah saya beli tida,1,0,0,0,1,0
bagus ges tidak usah ragu ori pokok nya,1,0,0,1,1,0
bagus kak willie hpnya keren,1,0,0,0,1,0
poko nya produk vivo tidak gagal dari zaman saya sekolah masih tetep vivo tidk beralih ke yg lain vivo juara ajib,0,0,0,1,0,1
bagus,1,0,0,0,1,0
admin kurang memperhatikan pesan dari buyer,0,0,0,0,0,0
barang nya uda sampai dengan baik pengantaran nya cepat barang ori,0,0,1,1,1,0
barang masih segel barang asli,1,0,0,0,0,0
it s a very sleek yet sturdy foldable phone love the super cepat charging,0,0,1,0,1,0
barang original masih tersegel rapi pengiriman cepat puas belanja di samsung official store,1,0,1,0,1,1
barang datang dengan aman dan sesuai pesanan,0,0,0,0,0,1
terbaik,0,0,0,1,0,0
bagus hp original joos gandos,1,0,0,0,1,0
mmng asli baru mura meriah cm suara kecil mi x nya atau suaranya kurang jernih klo d full lin,1,0,0,0,0,0
sesuai ekspektasi pengiriman aman bagus pokonya,1,0,0,0,1,1
hp bagus banget,1,0,0,0,1,0
bagus sekali ibox pa a nanti beli lagi di sini,1,0,0,0,1,0
alhamdulillah mksh bisa berfungsi smuanya,0,0,0,0,0,0
bagus,1,0,0,0,1,0
mantapppp,1,0,0,0,0,0
sensorx tdk bagus lm baru bisa,1,0,0,0,1,0
barang masih segel sampainya cepet semoga awet,0,0,0,0,0,0
warnanya bagus dipakai nya lancar,1,0,0,0,1,0
admin cepat responsif pengiriman pake instant rekomen beli disini,0,0,1,1,1,0
pengiriman cepat barang segelan pengemasan sangat safety dengan lapis bubble wrap,0,0,1,0,1,1
barang full segel original emang paling benar beli di official store,1,0,0,0,0,0
barang nya msh segel asli garansi resmi battery nya awet terima kasih,1,0,0,0,1,0
barangnya sih bagus cuman kuncian strap nya beda warna kuningnya pudar kalo sewarna lebih bagus sih,1,0,0,0,1,0
ooooooooooooooooooooooooooooooooookkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,0,0,0,0,0,0
barang sudah tiba dengan selamat dan kondisi perfect,0,0,1,0,0,0
okelah ada barang ada kualitas semoga awet,1,0,0,0,0,0
kualitas bagus dapat promo harga dan promo garansi pelayanan seller jg bagus alhamdulillah,1,0,0,0,1,0
barang sampai dengan kondisi baik aman tanpa cacat pengemasan bagus dan rapi,1,0,0,1,1,1
sudah bulan dipakai tidak ada kendala sejauh ini barang normal jaya,0,0,0,1,0,0
pengiriman mendarat dengan mulus dan moga awet,0,0,0,0,0,0
barang bagus semua ori dan masih segel,1,0,0,0,1,0
barang segel sesuai pesanan semoga awet,0,0,0,0,0,0
pengiriman cepat barang berkualitas baik,1,0,1,1,1,0
barang masi segel dan sesuai permintaan toko fastrespon packing dobel pengiriman cepat semoga awet dan toko makin lancar trimakasih,0,0,1,1,1,0
barang sesuai packingnya aman penjual responnya juga cepat terima kasih,0,0,1,1,1,1
mau garansi ibox di kirim digimap,0,0,0,0,0,0
barang sesuai pesanan admin ny sangat responsif pengiriman cepat order jam jam sudah terima barang kurir jg ramah mantabb dah belanja di oppo official resmi mak,0,0,1,1,1,0
bagus sesuai pesanan terimakasih maaf video terlalu panjang jadi tidak bisa di upload,1,0,0,1,1,0
okkguikkk,0,0,0,0,0,0
best quality,0,0,0,0,0,0
alhamdulillah bagus sesuai expetasi terimakasih,1,0,0,0,1,0
